date,date,total_num,pos_num,neg_num,neu_num,pos_density,neg_density,neu_density
2020-10-13,2020-10-13,427,198,68,161,0.4637002341920375,0.1592505854800937,0.3770491803278688
2020-10-14,2020-10-14,503,251,70,182,0.4990059642147117,0.13916500994035785,0.36182902584493043
2020-10-15,2020-10-15,437,201,62,174,0.459954233409611,0.14187643020594964,0.39816933638443935
2020-10-16,2020-10-16,509,248,48,213,0.48722986247544203,0.09430255402750491,0.41846758349705304
2020-10-17,2020-10-17,537,260,60,217,0.48417132216014896,0.11173184357541899,0.40409683426443205
2020-10-18,2020-10-18,455,237,60,158,0.5208791208791209,0.13186813186813187,0.34725274725274724
2020-10-19,2020-10-19,502,236,60,206,0.4701195219123506,0.11952191235059761,0.4103585657370518
2020-10-20,2020-10-20,542,278,69,195,0.5129151291512916,0.12730627306273062,0.35977859778597787
2020-10-21,2020-10-21,521,270,66,185,0.5182341650671785,0.12667946257197696,0.3550863723608445
2020-10-22,2020-10-22,507,241,71,195,0.47534516765285995,0.14003944773175542,0.38461538461538464
2020-10-23,2020-10-23,597,292,73,232,0.48911222780569513,0.12227805695142378,0.38860971524288107
2020-10-24,2020-10-24,595,273,66,256,0.4588235294117647,0.11092436974789915,0.43025210084033616
2020-10-25,2020-10-25,436,219,47,170,0.5022935779816514,0.10779816513761468,0.38990825688073394
2020-10-26,2020-10-26,492,255,47,190,0.5182926829268293,0.09552845528455285,0.3861788617886179
2020-10-27,2020-10-27,382,169,53,160,0.4424083769633508,0.1387434554973822,0.418848167539267
2020-10-28,2020-10-28,485,221,63,201,0.4556701030927835,0.12989690721649486,0.4144329896907217
2020-10-29,2020-10-29,618,330,68,220,0.5339805825242718,0.11003236245954692,0.3559870550161812
2020-10-30,2020-10-30,594,323,66,205,0.5437710437710438,0.1111111111111111,0.3451178451178451
2020-10-31,2020-10-31,862,428,116,318,0.4965197215777262,0.1345707656612529,0.3689095127610209
2020-11-01,2020-11-01,768,382,95,291,0.4973958333333333,0.12369791666666667,0.37890625
2020-11-02,2020-11-02,529,273,76,180,0.5160680529300568,0.14366729678638943,0.34026465028355385
2020-11-03,2020-11-03,642,324,70,248,0.5046728971962616,0.10903426791277258,0.3862928348909657
2020-11-04,2020-11-04,663,315,104,244,0.4751131221719457,0.1568627450980392,0.3680241327300151
2020-11-05,2020-11-05,801,394,99,308,0.4918851435705368,0.12359550561797752,0.38451935081148564
2020-11-06,2020-11-06,621,276,82,263,0.4444444444444444,0.1320450885668277,0.42351046698872785
2020-11-07,2020-11-07,554,259,55,240,0.4675090252707581,0.09927797833935018,0.4332129963898917
2020-11-08,2020-11-08,489,228,52,209,0.4662576687116564,0.10633946830265849,0.4274028629856851
2020-11-09,2020-11-09,295,134,38,123,0.4542372881355932,0.1288135593220339,0.41694915254237286
2020-11-10,2020-11-10,485,262,46,177,0.5402061855670103,0.09484536082474226,0.3649484536082474
2020-11-11,2020-11-11,487,226,81,180,0.46406570841889117,0.16632443531827515,0.36960985626283366
2020-11-12,2020-11-12,424,224,44,156,0.5283018867924528,0.10377358490566038,0.36792452830188677
2020-11-13,2020-11-13,471,230,60,181,0.4883227176220807,0.12738853503184713,0.3842887473460722
2020-11-14,2020-11-14,518,264,77,177,0.5096525096525096,0.14864864864864866,0.3416988416988417
2020-11-15,2020-11-15,485,238,56,191,0.49072164948453606,0.1154639175257732,0.3938144329896907
2020-11-16,2020-11-16,337,173,47,117,0.5133531157270029,0.1394658753709199,0.34718100890207715
2020-11-17,2020-11-17,427,186,62,179,0.43559718969555034,0.1451990632318501,0.41920374707259955
2020-11-18,2020-11-18,486,239,62,185,0.49176954732510286,0.12757201646090535,0.38065843621399176
2020-11-19,2020-11-19,501,262,57,182,0.5229540918163673,0.11377245508982035,0.36327345309381237
2020-11-20,2020-11-20,502,230,64,208,0.4581673306772908,0.12749003984063745,0.41434262948207173
2020-11-21,2020-11-21,499,243,54,202,0.48697394789579157,0.10821643286573146,0.40480961923847697
2020-11-22,2020-11-22,532,241,70,221,0.45300751879699247,0.13157894736842105,0.41541353383458646
2020-11-23,2020-11-23,421,204,41,176,0.4845605700712589,0.09738717339667459,0.4180522565320665
2020-11-24,2020-11-24,480,239,55,186,0.4979166666666667,0.11458333333333333,0.3875
2020-11-25,2020-11-25,491,239,59,193,0.48676171079429736,0.12016293279022404,0.39307535641547864
2020-11-26,2020-11-26,605,327,66,212,0.540495867768595,0.10909090909090909,0.3504132231404959
2020-11-27,2020-11-27,501,251,54,196,0.500998003992016,0.10778443113772455,0.3912175648702595
2020-11-28,2020-11-28,428,201,50,177,0.4696261682242991,0.11682242990654206,0.4135514018691589
2020-11-29,2020-11-29,381,191,47,143,0.5013123359580053,0.12335958005249344,0.3753280839895013
2020-11-30,2020-11-30,363,179,46,138,0.4931129476584022,0.12672176308539945,0.38016528925619836
2020-12-01,2020-12-01,441,199,54,188,0.4512471655328798,0.12244897959183673,0.42630385487528344
2020-12-02,2020-12-02,505,249,63,193,0.49306930693069306,0.12475247524752475,0.3821782178217822
2020-12-03,2020-12-03,527,253,67,207,0.48007590132827327,0.127134724857685,0.3927893738140417
2020-12-04,2020-12-04,459,219,53,187,0.477124183006536,0.11546840958605664,0.4074074074074074
2020-12-05,2020-12-05,518,232,58,228,0.44787644787644787,0.11196911196911197,0.44015444015444016
2020-12-06,2020-12-06,475,246,49,180,0.5178947368421053,0.1031578947368421,0.37894736842105264
2020-12-07,2020-12-07,409,199,58,152,0.48655256723716384,0.14180929095354522,0.37163814180929094
2020-12-08,2020-12-08,431,210,52,169,0.4872389791183295,0.12064965197215777,0.39211136890951276
2020-12-09,2020-12-09,427,218,42,167,0.5105386416861827,0.09836065573770492,0.3911007025761124
2020-12-10,2020-12-10,454,219,52,183,0.48237885462555063,0.1145374449339207,0.40308370044052866
2020-12-11,2020-12-11,470,231,57,182,0.49148936170212765,0.12127659574468085,0.3872340425531915
2020-12-12,2020-12-12,589,299,64,226,0.5076400679117148,0.10865874363327674,0.3837011884550085
2020-12-13,2020-12-13,462,221,60,181,0.47835497835497837,0.12987012987012986,0.3917748917748918
2020-12-14,2020-12-14,432,198,47,187,0.4583333333333333,0.1087962962962963,0.43287037037037035
2020-12-15,2020-12-15,530,274,55,201,0.5169811320754717,0.10377358490566038,0.37924528301886795
2020-12-16,2020-12-16,475,230,57,188,0.4842105263157895,0.12,0.3957894736842105
2020-12-17,2020-12-17,485,203,55,227,0.41855670103092785,0.1134020618556701,0.46804123711340206
2020-12-18,2020-12-18,475,225,55,195,0.47368421052631576,0.11578947368421053,0.4105263157894737
2020-12-19,2020-12-19,429,190,49,190,0.4428904428904429,0.11421911421911422,0.4428904428904429
2020-12-20,2020-12-20,455,228,60,167,0.5010989010989011,0.13186813186813187,0.367032967032967
2020-12-21,2020-12-21,437,208,59,170,0.4759725400457666,0.13501144164759726,0.3890160183066362
2020-12-22,2020-12-22,466,211,62,193,0.45278969957081544,0.13304721030042918,0.41416309012875535
2020-12-23,2020-12-23,474,248,62,164,0.5232067510548524,0.1308016877637131,0.3459915611814346
2020-12-24,2020-12-24,609,352,75,182,0.5779967159277504,0.12315270935960591,0.2988505747126437
2020-12-25,2020-12-25,611,388,43,180,0.6350245499181669,0.07037643207855974,0.2945990180032733
2020-12-26,2020-12-26,491,274,52,165,0.5580448065173116,0.10590631364562118,0.3360488798370672
2020-12-27,2020-12-27,383,190,43,150,0.4960835509138381,0.1122715404699739,0.391644908616188
2020-12-28,2020-12-28,382,172,46,164,0.450261780104712,0.12041884816753927,0.4293193717277487
2020-12-29,2020-12-29,479,230,60,189,0.4801670146137787,0.12526096033402923,0.3945720250521921
2020-12-30,2020-12-30,464,240,51,173,0.5172413793103449,0.10991379310344827,0.3728448275862069
2020-12-31,2020-12-31,678,404,64,210,0.5958702064896755,0.0943952802359882,0.30973451327433627
2021-01-01,2021-01-01,488,315,42,131,0.6454918032786885,0.0860655737704918,0.26844262295081966
2021-01-02,2021-01-02,378,197,49,132,0.5211640211640212,0.12962962962962962,0.3492063492063492
2021-01-03,2021-01-03,359,164,55,140,0.4568245125348189,0.1532033426183844,0.38997214484679665
2021-01-04,2021-01-04,391,178,51,162,0.45524296675191817,0.13043478260869565,0.4143222506393862
2021-01-05,2021-01-05,565,262,80,223,0.46371681415929206,0.1415929203539823,0.39469026548672564
2021-01-06,2021-01-06,554,272,65,217,0.49097472924187724,0.11732851985559567,0.3916967509025271
2021-01-07,2021-01-07,544,260,70,214,0.47794117647058826,0.12867647058823528,0.39338235294117646
2021-01-08,2021-01-08,603,282,81,240,0.46766169154228854,0.13432835820895522,0.39800995024875624
2021-01-09,2021-01-09,598,289,70,239,0.48327759197324416,0.11705685618729098,0.3996655518394649
2021-01-10,2021-01-10,504,229,66,209,0.45436507936507936,0.13095238095238096,0.4146825396825397
2021-01-11,2021-01-11,478,235,54,189,0.4916317991631799,0.11297071129707113,0.39539748953974896
